Year,Player,Team,Number
1946-47,Noble Jorgensen,PIT,17
1946-47,Bones McKinney,WSC,17
1946-47,Bob Mullens,TRH,17
1946-47,Butch Van Breda Kolff,NYK,17
1946-47,Virgil Vaughn,BOS,17
1946-47,Red Wallace,TRH,17
1946-47,Art Hillhouse,PHW,18
1946-47,Al Negratti,WSC,18
1946-47,Dick Schulz,TRH,18
1946-47,Ray Wertis,TRH,18
1946-47,Harry Zeller,PIT,18
1946-47,Hank Biasatti,TRH,19
1946-47,Bob Gantt,WSC,19
1946-47,Gene Gillette,WSC,19
1946-47,Ed Kasid,TRH,19
1946-47,Lee Knorek,NYK,19
1946-47,Ed Sadowski,TRH,20
1946-47,Ralph Siewert,TRH,20
1946-47,Roy Hurley,TRH,21
1946-47,Buddy O'Grady,WSC,21
1946-47,Chick Halbert,CHS,22
1946-47,Al Lujack,WSC,22
1946-47,Stan Miasek,DTF,22
1946-47,Leo Mogus,TRH,22
1946-47,Irv Torgoff,WSC,22
1946-47,Fred Scolari,WSC,23
1946-47,Red Wallace,TRH,23
1946-47,Harold Brown,DTF,24
1946-47,Jerry Kelly,BOS,24
1946-47,Tony Jaros,CHS,26
1946-47,Harold Johnson,DTF,33
1946-47,George Pearcy,DTF,34
1946-47,Henry Pearcy,DTF,44
1946-47,Art Stolkey,DTF,44
1946-47,John Janisch,DTF,52
1946-47,Howie McCarty,DTF,55
1946-47,Bob Dille,DTF,62
1946-47,Grady Lewis,DTF,66
1946-47,Moe Becker,DTF,67
1946-47,Milt Schoon,DTF,68
1946-47,Chet Aubuchon,DTF,98
1946-47,Ariel Maughan,DTF,99
1947-48,Bill Downey,PRO,UNK
1947-48,Wyndol Gray,PRO,UNK
1947-48,John Janisch,PRO,UNK
1947-48,Johnny Jorgensen,BLB,UNK
1947-48,Jerry Rullo,BLB,UNK
1947-48,Kenny Sailors,CHS,UNK
1947-48,Mel Thurston,PRO,UNK
1947-48,Jack Toomay,PRO,UNK
1947-48,Johnny Jorgensen,CHS,0
1947-48,Belus Smawley,STB,2
1947-48,Ernie Calverley,PRO,3
