Year,Player,Team,Number
1982-83,Jeff Ruland,WSB,43
1982-83,Jack Sikma,SEA,43
1982-83,Mychal Thompson,POR,43
1982-83,Danny Ainge,BOS,44
1982-83,Jeff Cook,CLE,44
1982-83,Quintin Dailey,CHI,44
1982-83,John Duren,IND,44
1982-83,Len Elmore,NJN,44
1982-83,George Gervin,SAS,44
1982-83,Scott Hastings,ATL,44
1982-83,Elvin Hayes,HOU,44
1982-83,Dan Issel,DEN,44
1982-83,Rich Kelley,UTA,44
1982-83,Scott Lloyd,DAL,44
1982-83,Rick Mahorn,WSB,44
1982-83,Hank McDowell,GSW,44
1982-83,Paul Mokeski,CLE,44
1982-83,Tom Owens,DET,44
1982-83,David Thompson,SEA,44
1982-83,Paul Westphal,NYK,44
1982-83,Jeff Cook,PHO,45
1982-83,Clemon Johnson,IND,45
1982-83,Paul Mokeski,MIL,45
1982-83,Purvis Short,GSW,45
1982-83,Jeff Wilkins,UTA,45
1982-83,Geoff Crompton,SAS,50
1982-83,Joel Kramer,PHO,50
1982-83,Steve Lingenfelter,WSB,50
1982-83,Joe Meriweather,KCK,50
1982-83,Steve Mix,LAL,50
1982-83,Ben Poquette,UTA,50
1982-83,Reggie King,KCK,51
1982-83,Eddie Phillips,NJN,51
1982-83,Brad Branson,IND,52
1982-83,George Johnson,ATL,52
1982-83,Sam Lacey,CLE,52
1982-83,Chuck Nevitt,HOU,52
1982-83,Mark Olberding,CHI,52
1982-83,Darren Tillis,BOS,52
1982-83,Jamaal Wilkes,LAL,52
1982-83,Buck Williams,NJN,52
1982-83,Darryl Dawkins,NJN,53
1982-83,Mark Eaton,UTA,53
1982-83,James Edwards,PHO,53
1982-83,Artis Gilmore,SAS,53
1982-83,Rich Kelley,DEN,53
1982-83,Cliff Levingston,DET,53
1982-83,Alton Lister,MIL,53
1982-83,Rick Robey,BOS,53
1982-83,Kent Benson,DET,54
1982-83,Mark Landsberger,LAL,54
1982-83,Tom McMillen,ATL,54
1982-83,Chris Engler,GSW,55
1982-83,Albert King,NJN,55
1982-83,Louis Orr,NYK,55
1982-83,Kiki Vandeweghe,DEN,55
1983-84,Keith Edmonson,SAS,UNK
1983-84,Calvin Garrett,LAL,00
1983-84,Johnny Moore,SAS,00
1983-84,Robert Parish,BOS,00
1983-84,Orlando Woolridge,CHI,0
1983-84,Mark Olberding,KCK,UNK
1983-84,Phil Ford,HOU,1
1983-84,Wes Matthews,ATL,1
1983-84,Billy McKinney,SDC,1
1983-84,Foots Walker,NJN,1
1983-84,Gus Williams,SEA,1
1983-84,James Bailey,HOU,2
1983-84,Junior Bridgeman,MIL,2
1983-84,Joe Barry Carroll,GSW,2
1983-84,Alex English,DEN,2
1983-84,Moses Malone,PHI,2
1983-84,Rory Sparrow,NYK,2
1983-84,Dane Suttle,KCK,2
1983-84,Michael Wilson,WSB,2
1983-84,Craig Ehlo,HOU,3
1983-84,Dennis Johnson,BOS,3
1983-84,Eddie Johnson,ATL,3
1983-84,Jeff Lamp,POR,3
1983-84,Ennis Whatley,CHI,3
1983-84,Adrian Dantley,UTA,4
1983-84,Kyle Macy,PHO,4
1983-84,Sidney Moncrief,MIL,4
1983-84,Jim Paxson,POR,4
1983-84,John Paxson,SAS,4
1983-84,Clint Richardson,PHI,4
1983-84,Byron Scott,LAL,4
1983-84,Darrell Walker,NYK,4
1983-84,Al Wood,SEA,4
1983-84,John Bagley,CLE,5
1983-84,Mike Evans,DEN,5
1983-84,Eddie Jordan,POR,5
1983-84,Billy Paultz,ATL,5
1983-84,Lorenzo Romar,MIL,5
1983-84,Walter Davis,PHO,6
1983-84,Julius Erving,PHI,6
1983-84,Trent Tucker,NYK,6
1983-84,Tiny Archibald,MIL,7
1983-84,Michael Brooks,SDC,7
1983-84,Tracy Jackson,IND,7
1983-84,Bruce Kuczenski,IND,7
1983-84,Mike Sanders,PHO,7
1983-84,Kelly Tripucka,DET,7
1983-84,Rory White,PHO,7
1983-84,Marc Iavaroni,PHI,8
1983-84,Eddie Johnson,KCK,8
1983-84,Marques Johnson,MIL,8
1983-84,Hank McDowell,SDC,8
1983-84,Rick Robey,PHO,8
1983-84,Lonnie Shelton,CLE,8
1983-84,Lionel Hollins,DET,9
1983-84,Kevin Loder,SDC,9
1983-84,Sedale Threatt,PHI,9
1983-84,Linton Townes,SDC,9
1983-84,Otis Birdsong,NJN,10
1983-84,Ron Brewer,SAS,10
1983-84,Don Buse,KCK,10
1983-84,Maurice Cheeks,PHI,10
1983-84,Mike Dunleavy,MIL,10
1983-84,Keith Edmonson,DEN,10
1983-84,Rod Foster,PHO,10
1983-84,Stewart Granger,CLE,10
1983-84,Steve Hawes,SEA,10
1983-84,Norm Nixon,SDC,10
1983-84,Rory White,MIL,10
1983-84,Randy Wittman,ATL,10
1983-84,J.J. Anderson,UTA,11
1983-84,Johnny High,PHO,11
1983-84,Major Jones,HOU,11
1983-84,Mark Jones,NJN,11
1983-84,Bob McAdoo,LAL,11
1983-84,Leo Rautins,PHI,11
1983-84,Fred Roberts,SAS,11
1983-84,Cliff Robinson,CLE,11
1983-84,Brook Steppe,IND,11
1983-84,Isiah Thomas,DET,11
1983-84,Butch Carter,IND,12
1983-84,Darwin Cook,NJN,12
1983-84,Derek Harper,DAL,12
1983-84,Ronnie Lester,CHI,12
1983-84,Fat Lever,POR,12
1983-84,Rory White,SDC,12
1983-84,Kevin Williams,SAS,12
1983-84,Larry Smith,GSW,13
1983-84,Bryan Warrick,WSB,13
1983-84,Ray Williams,NYK,13
1983-84,Charlie Criss,ATL,14
1983-84,Franklin Edwards,PHI,14
1983-84,Dale Ellis,DAL,14
1983-84,Rickey Green,UTA,14
1983-84,Kelvin Ransey,NJN,14
1983-84,Alvin Scott,PHO,14
1983-84,Jerry Sichting,IND,14
1983-84,Ricky Sobers,WSB,14
1983-84,Darnell Valentine,POR,14
1983-84,Lester Conner,GSW,15
1983-84,Charlie Criss,MIL,15
1983-84,Brad Davis,DAL,15
1983-84,Frank Johnson,WSB,15
1983-84,Vinnie Johnson,DET,15
1983-84,Eddie Jordan,LAL,15
1983-84,John Lucas,SAS,15
1983-84,Mitchell Wiggins,CHI,15
1983-84,Johnny Davis,ATL,16
1983-84,Bob Lanier,MIL,16
1983-84,Jim Thomas,IND,16
1983-84,Ron Brewer,GSW,17
1983-84,Don Collins,GSW,18
1983-84,Ernie Grunfeld,NYK,18
1983-84,Lorenzo Romar,GSW,18
1983-84,Derek Smith,SDC,18
1983-84,Gene Banks,SAS,20
1983-84,Bill Garnett,DAL,20
1983-84,Bob Hansen,UTA,20
1983-84,Geoff Huston,CLE,20
1983-84,Greg Kelser,SDC,20
1983-84,Maurice Lucas,PHO,20
1983-84,Pace Mannion,GSW,20
1983-84,Ed Nealy,KCK,20
1983-84,Micheal Ray Richardson,NJN,20
1983-84,Jon Sundvold,SEA,20
1983-84,Terry Teagle,HOU,20
1983-84,Scott Wedman,BOS,20
1983-84,Michael Cooper,LAL,21
1983-84,Sleepy Floyd,GSW,21
1983-84,World B. Free,CLE,21
1983-84,Sidney Green,CHI,21
1983-84,Scooter McCray,SEA,21
1983-84,Kevin McKenna,IND,21
1983-84,Roger Phegley,DAL,21
1983-84,Truck Robinson,NYK,21
1983-84,Dominique Wilkins,ATL,21
1983-84,Rob Williams,DEN,21
1983-84,Rolando Blackman,DAL,22
1983-84,John Drew,UTA,22
1983-84,Larry Drew,KCK,22
1983-84,Clyde Drexler,POR,22
1983-84,Rod Higgins,CHI,22
1983-84,Hutch Jones,SDC,22
1983-84,Rodney McCray,HOU,22
1983-84,Larry Nance,PHO,22
1983-84,David Thirdkill,DET,22
1983-84,Darren Tillis,GSW,22
1983-84,Andrew Toney,PHI,22
1983-84,Linton Townes,MIL,22
1983-84,Mike Bratz,GSW,23
1983-84,Earl Cureton,DET,23
1983-84,Charles Davis,WSB,23
1983-84,T.R. Dunn,DEN,23
1983-84,Charles Jones,PHI,23
1983-84,Bruce Kuczenski,NJN,23
1983-84,Danny Vranes,SEA,23
1983-84,Mark Aguirre,DAL,24
1983-84,Tom Chambers,SEA,24
1983-84,Bill Hanzlik,DEN,24
1983-84,Armond Hill,ATL,24
1983-84,Craig Hodges,SDC,24
1983-84,George Johnson,IND,24
1983-84,Bobby Jones,PHI,24
1983-84,Jeff Malone,WSB,24
1983-84,Audie Norris,POR,24
1983-84,Reggie Theus,CHI,24
1983-84,Ray Tolbert,DET,24
1983-84,Bill Cartwright,NYK,25
1983-84,Darren Daye,WSB,25
1983-84,Billy Knight,KCK,25
1983-84,Mitch Kupchak,LAL,25
1983-84,Steve Lingenfelter,SAS,25
1983-84,John Long,DET,25
1983-84,Ricky Pierce,SDC,25
1983-84,Paul Pressey,MIL,25
1983-84,Doc Rivers,ATL,25
1983-84,Dave Robisch,DEN,25
1983-84,Brant Weidner,SAS,25
1983-84,Caldwell Jones,HOU,27
1983-84,Quinn Buckner,BOS,28
1983-84,Charles Bradley,SEA,30
1983-84,M.L. Carr,BOS,30
1983-84,Mike Gibson,WSB,30
1983-84,Bernard King,NYK,30
1983-84,Allen Leavell,HOU,30
1983-84,Kevin Loder,KCK,30
1983-84,Anthony Roberts,DEN,30
1983-84,Tree Rollins,ATL,30
1983-84,Rickey Brown,ATL,31
1983-84,Jerry Eaves,UTA,31
1983-84,Joe Kopicki,WSB,31
1983-84,Cedric Maxwell,BOS,31
1983-84,Mark McNamara,SAS,31
1983-84,Mike O'Koren,NJN,31
1983-84,Kurt Rambis,LAL,31
1983-84,Pete Verhoeven,POR,31
1983-84,Jay Vincent,DAL,31
1983-84,Granville Waiters,IND,31
1983-84,Fred Brown,SEA,32
1983-84,Howard Carter,DEN,32
1983-84,Roy Hinson,CLE,32
1983-84,Magic Johnson,LAL,32
1983-84,Steve Johnson,CHI,32
1983-84,Lewis Lloyd,HOU,32
1983-84,Darrell Lockhart,SAS,32
1983-84,Kevin McHale,BOS,32
1983-84,Charles Pittman,PHO,32
1983-84,Dan Roundfield,ATL,32
1983-84,DeWayne Scales,WSB,32
1983-84,Bill Walton,SDC,32
1983-84,Herb Williams,IND,32
1983-84,Kareem Abdul-Jabbar,LAL,33
1983-84,Alvan Adams,PHO,33
1983-84,Larry Bird,BOS,33
1983-84,Tom Boswell,UTA,33
1983-84,Kenny Dennard,DEN,33
1983-84,Reggie Johnson,NJN,33
1983-84,Steve Johnson,KCK,33
1983-84,Clark Kellogg,IND,33
1983-84,Calvin Natt,POR,33
1983-84,Jawann Oldham,CHI,33
1983-84,John Pinone,ATL,33
1983-84,Robert Reid,HOU,33
1983-84,Walker Russell,DET,33
1983-84,Paul Thompson,CLE,33
1983-84,Elston Turner,DAL,33
1983-84,Jerome Whitehead,SDC,33
1983-84,Sam Williams,GSW,33
1983-84,Ken Austin,DET,34
1983-84,Kenny Carr,POR,34
1983-84,Leroy Combs,IND,34
1983-84,Terry Cummings,SDC,34
1983-84,Mike Glenn,ATL,34
1983-84,Dave Greenwood,CHI,34
1983-84,Clay Johnson,SEA,34
1983-84,Mike Mitchell,SAS,34
1983-84,Danny Schayes,DEN,34
1983-84,Jim Spanarkel,DAL,34
1983-84,Bill Willoughby,NJN,34
1983-84,Richard Anderson,DEN,35
1983-84,Kevin Grevey,MIL,35
1983-84,Darrell Griffith,UTA,35
1983-84,Phil Hubbard,CLE,35
1983-84,Sidney Lowe,IND,35
1983-84,Dave Robisch,KCK,35
1983-84,Larry Spriggs,LAL,35
1983-84,Sly Williams,ATL,35
1983-84,Carlos Clark,BOS,40
1983-84,Dave Corzine,CHI,40
1983-84,Russell Cross,GSW,40
1983-84,James Donaldson,SDC,40
1983-84,Bill Laimbeer,DET,40
1983-84,Mike McGee,LAL,40
1983-84,Larry Micheaux,KCK,40
1983-84,Kurt Nimphius,DAL,40
1983-84,Steve Stipanovich,IND,40
1983-84,Marvin Webster,NYK,40
1983-84,Thurl Bailey,UTA,41
1983-84,Geoff Crompton,CLE,41
1983-84,Steve Hayes,SEA,41
1983-84,Rudy Macklin,NYK,41
1983-84,Bob Miller,SAS,41
1983-84,Swen Nater,LAL,41
1983-84,LaSalle Thompson,KCK,41
1983-84,Terry Tyler,DET,41
1983-84,Greg Ballard,WSB,42
1983-84,Harvey Catchings,MIL,42
1983-84,Wayne Cooper,POR,42
1983-84,Pat Cummings,DAL,42
1983-84,Mike Gminski,NJN,42
1983-84,Edgar Jones,SAS,42
1983-84,Wally Walker,HOU,42
1983-84,Mike Woodson,KCK,42
1983-84,James Worthy,LAL,42
1983-84,Gerald Henderson,BOS,43
1983-84,Mickey Johnson,GSW,43
1983-84,Jeff Ruland,WSB,43
1983-84,Jack Sikma,SEA,43
1983-84,Mychal Thompson,POR,43
1983-84,Danny Ainge,BOS,44
1983-84,Quintin Dailey,CHI,44
1983-84,Len Elmore,NYK,44
1983-84,George Gervin,SAS,44
1983-84,Scott Hastings,ATL,44
1983-84,Elvin Hayes,HOU,44
1983-84,Dan Issel,DEN,44
1983-84,Rich Kelley,UTA,44
1983-84,Rick Mahorn,WSB,44
1983-84,Paul Mokeski,MIL,44
1983-84,David Thompson,SEA,44
1983-84,Paul Westphal,PHO,44
1983-84,Dave Batton,SAS,45
1983-84,Randy Breuer,MIL,45
1983-84,Jeff Cook,CLE,45
1983-84,Eric Fernsten,NYK,45
1983-84,Clemon Johnson,PHI,45
1983-84,Purvis Short,GSW,45
1983-84,Mark West,DAL,45
1983-84,Jeff Wilkins,UTA,45
1983-84,Greg Kite,BOS,50
1983-84,Joe Meriweather,KCK,50
1983-84,Ben Poquette,CLE,50
1983-84,Ralph Sampson,HOU,50
1983-84,Reggie King,SEA,51
1983-84,Jamaal Wilkes,LAL,52
1983-84,Buck Williams,NJN,52
1983-84,Darryl Dawkins,NJN,53
1983-84,Mark Eaton,UTA,53
1983-84,James Edwards,PHO,53
1983-84,Artis Gilmore,SAS,53
1983-84,Cliff Levingston,DET,53
1983-84,Alton Lister,MIL,53
1983-84,Kent Benson,DET,54
1983-84,Wallace Bryant,CHI,54
1983-84,Mark Landsberger,ATL,54
1983-84,Tom McMillen,WSB,54
1983-84,Tom Piotrowski,POR,54
1983-84,Chris Engler,GSW,55
1983-84,John Garris,CLE,55
1983-84,Albert King,NJN,55
1983-84,Louis Orr,NYK,55
1983-84,Kiki Vandeweghe,DEN,55
1984-85,Derek Harper,DAL,UNK
1984-85,Tony Campbell,DET,00
1984-85,Johnny Moore,SAS,00
1984-85,Robert Parish,BOS,00
1984-85,Orlando Woolridge,CHI,0
1984-85,Ken Bannister,NYK,1
1984-85,Phil Ford,HOU,1
1984-85,Earl Jones,LAL,1
1984-85,Wes Matthews,CHI,1
1984-85,Gus Williams,WSB,1
1984-85,Junior Bridgeman,LAC,2
1984-85,Alex English,DEN,2
1984-85,Ralph Jackson,IND,2
1984-85,Moses Malone,PHI,2
1984-85,Kenny Natt,KCK,2
1984-85,Walker Russell,ATL,2
1984-85,Rory Sparrow,NYK,2
1984-85,Dane Suttle,KCK,2
1984-85,Linton Townes,SAS,2
1984-85,Craig Ehlo,HOU,3
1984-85,Dennis Johnson,BOS,3
1984-85,Eddie Johnson,ATL,3
1984-85,Ennis Whatley,CHI,3
1984-85,Guy Williams,WSB,3
1984-85,Adrian Dantley,UTA,4
1984-85,Lancaster Gordon,LAC,4
1984-85,Kyle Macy,PHO,4
1984-85,Sidney Moncrief,MIL,4
1984-85,Jim Paxson,POR,4
1984-85,John Paxson,SAS,4
1984-85,Clint Richardson,PHI,4
1984-85,Campy Russell,CLE,4
1984-85,Byron Scott,LAL,4
1984-85,Darrell Walker,NYK,4
1984-85,Al Wood,SEA,4
1984-85,John Bagley,CLE,5
1984-85,Jerry Eaves,ATL,5
1984-85,Mike Evans,DEN,5
1984-85,John Lucas,HOU,5
1984-85,Billy Paultz,UTA,5
1984-85,Lorenzo Romar,MIL,5
1984-85,Walter Davis,PHO,6
1984-85,Julius Erving,PHI,6
1984-85,Paul Thompson,MIL,6
1984-85,Trent Tucker,NYK,6
1984-85,Butch Carter,NYK,7
1984-85,Devin Durrant,IND,7
1984-85,Kenny Fields,MIL,7
1984-85,Leo Rautins,ATL,7
1984-85,Tom Sluby,DAL,7
1984-85,Peter Thibeaux,GSW,7
1984-85,Kelly Tripucka,DET,7
1984-85,Tony Brown,IND,8
1984-85,Ron Cavenall,NYK,8
1984-85,Marc Iavaroni,PHI,8
1984-85,Eddie Johnson,KCK,8
1984-85,Marques Johnson,LAC,8
1984-85,Ozell Jones,SAS,8
1984-85,Hank McDowell,HOU,8
1984-85,Rick Robey,PHO,8
1984-85,Lonnie Shelton,CLE,8
1984-85,Scott Wedman,BOS,8
1984-85,Lionel Hollins,HOU,9
1984-85,Sedale Threatt,PHI,9
1984-85,Otis Birdsong,NJN,10
1984-85,Ron Brewer,SAS,10
1984-85,Don Buse,KCK,10
1984-85,Maurice Cheeks,PHI,10
1984-85,Mike Dunleavy,MIL,10
1984-85,Vern Fleming,IND,10
1984-85,Rod Foster,PHO,10
1984-85,Butch Graves,CLE,10
1984-85,Dave Greenwood,CHI,10
1984-85,Norm Nixon,LAC,10
1984-85,Robert Smith,CLE,10
1984-85,Willie White,DEN,10
1984-85,Randy Wittman,ATL,10
1984-85,J.J. Anderson,UTA,11
1984-85,Greg Kelser,IND,11
1984-85,Bob McAdoo,LAL,11
1984-85,Fred Roberts,SAS,11
1984-85,Cliff Robinson,WSB,11
1984-85,Mike Sanders,PHO,11
1984-85,Isiah Thomas,DET,11
1984-85,Othell Wilson,GSW,11
1984-85,Darwin Cook,NJN,12
1984-85,George Johnson,PHI,12
1984-85,Ronnie Lester,LAL,12
1984-85,Fat Lever,DEN,12
1984-85,John Stockton,UTA,12
1984-85,Kevin Williams,CLE,12
1984-85,Charles Jones,CHI,13
1984-85,Larry Smith,GSW,13
1984-85,Bryan Warrick,LAC,13
1984-85,Charlie Criss,ATL,14
1984-85,Franklin Edwards,LAC,14
1984-85,Dale Ellis,DAL,14
1984-85,Rickey Green,UTA,14
1984-85,Kelvin Ransey,NJN,14
1984-85,Lorenzo Romar,DET,14
1984-85,Alvin Scott,PHO,14
1984-85,Jerry Sichting,IND,14
1984-85,Ricky Sobers,SEA,14
1984-85,Darnell Valentine,POR,14
1984-85,Steve Burtt,GSW,15
1984-85,Brad Davis,DAL,15
1984-85,Gerald Henderson,SEA,15
1984-85,Craig Hodges,MIL,15
1984-85,Mike Holton,PHO,15
1984-85,Frank Johnson,WSB,15
1984-85,Vinnie Johnson,DET,15
1984-85,Mitchell Wiggins,HOU,15
1984-85,Johnny Davis,CLE,16
1984-85,Jim Thomas,IND,16
1984-85,Ernie Grunfeld,NYK,18
1984-85,Pace Mannion,UTA,18
1984-85,Kenny Natt,UTA,18
1984-85,Derek Smith,LAC,18
1984-85,James Bailey,NYK,20
1984-85,Gene Banks,SAS,20
1984-85,Steve Colter,POR,20
1984-85,Bill Garnett,IND,20
1984-85,Stewart Granger,ATL,20
1984-85,Bob Hansen,UTA,20
1984-85,Geoff Huston,CLE,20
1984-85,Maurice Lucas,PHO,20
1984-85,Ed Nealy,KCK,20
1984-85,Micheal Ray Richardson,NJN,20
1984-85,Jon Sundvold,SEA,20
1984-85,Terry Teagle,GSW,20
1984-85,Elston Turner,DEN,20
1984-85,Ray Williams,BOS,20
1984-85,Leon Wood,PHI,20
1984-85,Michael Cooper,LAL,21
1984-85,Sleepy Floyd,GSW,21
1984-85,World B. Free,CLE,21
1984-85,Sidney Green,CHI,21
1984-85,Scooter McCray,SEA,21
1984-85,Alvin Robertson,SAS,21
1984-85,Truck Robinson,NYK,21
1984-85,David Thirdkill,MIL,21
1984-85,Dominique Wilkins,ATL,21
1984-85,Eddie Lee Wilkins,NYK,21
1984-85,Rolando Blackman,DAL,22
1984-85,Dudley Bradley,WSB,22
1984-85,Ron Brewer,NJN,22
1984-85,Don Collins,WSB,22
1984-85,John Drew,UTA,22
1984-85,Larry Drew,KCK,22
1984-85,Clyde Drexler,POR,22
1984-85,Rod Higgins,CHI,22
1984-85,Rodney McCray,HOU,22
1984-85,Larry Nance,PHO,22
1984-85,Ricky Pierce,MIL,22
1984-85,Terry Teagle,DET,22
1984-85,David Thirdkill,DET,22
1984-85,Andrew Toney,PHI,22
1984-85,Rory White,LAC,22
1984-85,Michael Wilson,CLE,22
1984-85,Danny Young,SEA,22
1984-85,Mike Bratz,GSW,23
1984-85,Earl Cureton,DET,23
1984-85,Charles Davis,WSB,23
1984-85,T.R. Dunn,DEN,23
1984-85,Charles Jones,WSB,23
1984-85,Michael Jordan,CHI,23
1984-85,Danny Vranes,SEA,23
1984-85,Mark Aguirre,DAL,24
1984-85,Tom Chambers,SEA,24
1984-85,Charles Davis,MIL,24
1984-85,Bill Hanzlik,DEN,24
1984-85,Jay Humphries,PHO,24
1984-85,Bobby Jones,PHI,24
1984-85,Jeff Malone,WSB,24
1984-85,Audie Norris,POR,24
1984-85,Reggie Theus,KCK,24
1984-85,Ron Anderson,CLE,25
1984-85,Darren Daye,WSB,25
1984-85,Kenton Edelin,IND,25
1984-85,Jerome Kersey,POR,25
1984-85,Billy Knight,KCK,25
1984-85,Mitch Kupchak,LAL,25
1984-85,John Long,DET,25
1984-85,Paul Pressey,MIL,25
1984-85,Doc Rivers,ATL,25
1984-85,Caldwell Jones,CHI,27
1984-85,Quinn Buckner,BOS,28
1984-85,Cory Blackwell,SEA,30
1984-85,Sam Bowie,POR,30
1984-85,M.L. Carr,BOS,30
1984-85,Bernard King,NYK,30
1984-85,Allen Leavell,HOU,30
1984-85,David Pope,KCK,30
1984-85,Tree Rollins,ATL,30
1984-85,Rickey Brown,ATL,31
1984-85,Steve Hayes,PHI,31
1984-85,Cedric Maxwell,BOS,31
1984-85,Mark McNamara,SAS,31
1984-85,Mike O'Koren,NJN,31
1984-85,Kurt Rambis,LAL,31
1984-85,Brook Steppe,DET,31
1984-85,Jay Vincent,DAL,31
1984-85,Granville Waiters,IND,31
1984-85,Dale Wilkinson,DET,31
1984-85,Howard Carter,DAL,32
1984-85,Lester Conner,GSW,32
1984-85,Roy Hinson,CLE,32
1984-85,Marc Iavaroni,SAS,32
1984-85,Magic Johnson,LAL,32
1984-85,Steve Johnson,CHI,32
1984-85,Lewis Lloyd,HOU,32
1984-85,Kevin McHale,BOS,32
1984-85,Charles Pittman,PHO,32
1984-85,Dan Roundfield,DET,32
1984-85,Tom Sewell,WSB,32
1984-85,Bill Walton,LAC,32
1984-85,Herb Williams,IND,32
1984-85,Kareem Abdul-Jabbar,LAL,33
1984-85,Alvan Adams,PHO,33
1984-85,Larry Bird,BOS,33
1984-85,Antoine Carr,ATL,33
1984-85,Clark Kellogg,IND,33
1984-85,Kevin McKenna,NJN,33
1984-85,Calvin Natt,DEN,33
1984-85,Jawann Oldham,CHI,33
1984-85,Robert Reid,HOU,33
1984-85,Fred Roberts,UTA,33
1984-85,Bernard Thompson,POR,33
1984-85,Paul Thompson,CLE,33
1984-85,Otis Thorpe,KCK,33
1984-85,Jerome Whitehead,GSW,33
1984-85,Sam Williams,PHI,33
1984-85,Charles Barkley,PHI,34
1984-85,Frank Brickowski,SEA,34
1984-85,Rick Carlisle,BOS,34
1984-85,Kenny Carr,POR,34
1984-85,Terry Cummings,MIL,34
1984-85,Chris Engler,CHI,34
1984-85,Mike Glenn,ATL,34
1984-85,Charles Jones,PHO,34
1984-85,Tom LaGarde,NJN,34
1984-85,Sidney Lowe,DET,34
1984-85,Mike Mitchell,SAS,34
1984-85,Hakeem Olajuwon,HOU,34
1984-85,Danny Schayes,DEN,34
1984-85,Kevin Grevey,MIL,35
1984-85,Darrell Griffith,UTA,35
1984-85,Phil Hubbard,CLE,35
1984-85,Major Jones,DET,35
1984-85,Mark McNamara,KCK,35
1984-85,John Schweitz,SEA,35
1984-85,Larry Spriggs,LAL,35
1984-85,Jeff Turner,NJN,35
1984-85,Sly Williams,ATL,35
1984-85,Dale Wilkinson,LAC,38
1984-85,Carlos Clark,BOS,40
1984-85,Dave Corzine,CHI,40
1984-85,James Donaldson,LAC,40
1984-85,Bill Laimbeer,DET,40
1984-85,Tim McCormick,SEA,40
1984-85,Mike McGee,LAL,40
1984-85,Larry Micheaux,HOU,40
1984-85,Kurt Nimphius,DAL,40
1984-85,Steve Stipanovich,IND,40
1984-85,Pete Verhoeven,KCK,40
1984-85,Thurl Bailey,UTA,41
1984-85,Sam Perkins,DAL,41
1984-85,LaSalle Thompson,KCK,41
1984-85,Terry Tyler,DET,41
1984-85,Mark West,CLE,41
1984-85,Greg Ballard,WSB,42
1984-85,Harvey Catchings,LAC,42
1984-85,Wayne Cooper,DEN,42
1984-85,Pat Cummings,NYK,42
1984-85,Mike Gminski,NJN,42
1984-85,Edgar Jones,SAS,42
1984-85,Kevin Willis,ATL,42
1984-85,Mike Woodson,KCK,42
1984-85,James Worthy,LAL,42
1984-85,George Johnson,NJN,43
1984-85,Mickey Johnson,GSW,43
1984-85,Sidney Lowe,ATL,43
1984-85,Chuck Nevitt,LAL,43
1984-85,Jim Petersen,HOU,43
1984-85,Jeff Ruland,WSB,43
1984-85,Jack Sikma,SEA,43
1984-85,Terence Stansbury,IND,43
1984-85,Mychal Thompson,POR,43
1984-85,Mark West,MIL,43
1984-85,Michael Young,PHO,43
1984-85,Danny Ainge,BOS,44
1984-85,Michael Cage,LAC,44
1984-85,Quintin Dailey,CHI,44
1984-85,George Gervin,SAS,44
1984-85,Scott Hastings,ATL,44
1984-85,Dan Issel,DEN,44
1984-85,Edgar Jones,CLE,44
1984-85,Rich Kelley,UTA,44
1984-85,Rick Mahorn,WSB,44
1984-85,Paul Mokeski,MIL,44
1984-85,Gary Plummer,GSW,44
1984-85,Wayne Sappleton,NJN,44
1984-85,Randy Breuer,MIL,45
1984-85,Jeff Cook,CLE,45
1984-85,Clemon Johnson,PHI,45
1984-85,Purvis Short,GSW,45
1984-85,Jeff Wilkins,UTA,45
1984-85,Jay Murphy,LAC,46
1984-85,Chuck Aleksinas,GSW,50
1984-85,Chris Engler,MIL,50
1984-85,Greg Kite,BOS,50
1984-85,Joe Kopicki,DEN,50
1984-85,Joe Meriweather,KCK,50
1984-85,Ben Poquette,CLE,50
1984-85,Ralph Sampson,HOU,50
1984-85,Tom Scheffler,POR,50
1984-85,Reggie King,SEA,51
1984-85,Charlie Sitton,DAL,52
1984-85,Jamaal Wilkes,LAL,52
1984-85,Buck Williams,NJN,52
1984-85,Wallace Bryant,DAL,53
1984-85,Joe Cooper,SEA,53
1984-85,Darryl Dawkins,NJN,53
1984-85,Mark Eaton,UTA,53
1984-85,James Edwards,PHO,53
1984-85,Artis Gilmore,SAS,53
1984-85,Cliff Levingston,ATL,53
1984-85,Alton Lister,MIL,53
1984-85,Mark Olberding,KCK,53
1984-85,Kent Benson,DET,54
1984-85,Tom McMillen,WSB,54
1984-85,Melvin Turpin,CLE,54
1984-85,Stuart Gray,IND,55
1984-85,Albert King,NJN,55
1984-85,Louis Orr,NYK,55
1984-85,Kiki Vandeweghe,POR,55
1985-86,Tony Brown,CHI,UNK
1985-86,Benoit Benjamin,LAC,00
1985-86,Tony Campbell,DET,00
1985-86,Ken Johnson,POR,00
1985-86,Johnny Moore,SAS,00
1985-86,Robert Parish,BOS,00
1985-86,Orlando Woolridge,CHI,0
1985-86,Ken Bannister,NYK,1
1985-86,Wes Matthews,SAS,1
1985-86,Darnell Valentine,LAC,1
1985-86,Gus Williams,WSB,1
1985-86,Ray Williams,ATL,1
1985-86,Junior Bridgeman,LAC,2
1985-86,Joe Barry Carroll,GSW,2
1985-86,Alex English,DEN,2
1985-86,Moses Malone,PHI,2
1985-86,Perry Moss,WSB,2
1985-86,Rory Sparrow,NYK,2
1985-86,Ennis Whatley,WSB,2
1985-86,Craig Ehlo,HOU,3
1985-86,Ken Green,NYK,3
