Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
27,Luke Babbitt\babbilu01,SF,27,Miami Heat,68,1065,8.4,.563,.747,.053,1.3,13.5,7.4,4.8,1.0,0.8,8.0,13.0,,0.8,1.0,1.8,.082,,-1.0,-0.8,-1.8,0.0
28,Ron Baker\bakerro01,SG,23,New York Knicks,47,695,7.3,.449,.392,.216,1.7,11.0,6.3,15.9,2.3,0.8,18.9,14.8,,-0.6,0.5,-0.1,-0.009,,-3.8,-0.6,-4.4,-0.4
29,Wade Baldwin\baldwwa01,PG,20,Memphis Grizzlies,28,341,6.7,.416,.216,.364,2.3,9.3,5.7,24.1,2.3,2.0,25.0,18.1,,-0.6,0.4,-0.2,-0.032,,-6.2,0.5,-5.7,-0.3
30,Leandro Barbosa\barbole01,SG,34,Phoenix Suns,67,963,11.5,.509,.250,.115,1.7,10.4,5.9,13.1,1.5,0.7,10.4,20.0,,0.3,0.4,0.6,.031,,-2.0,-2.1,-4.1,-0.5
31,J.J. Barea\bareajo01,PG,32,Dallas Mavericks,31,697,17.0,.518,.414,.158,1.4,10.9,6.0,42.6,0.9,0.1,14.0,25.7,,0.8,0.4,1.2,.082,,1.8,-2.6,-0.8,0.2
32,Harrison Barnes\barneha02,PF,24,Dallas Mavericks,76,2723,16.6,.541,.171,.220,3.8,13.4,8.4,7.8,1.3,0.5,6.7,25.5,,2.5,2.2,4.7,.084,,-0.6,-1.1,-1.7,0.2
33,Matt Barnes\barnema02,SF,36,TOT,71,1715,10.0,.509,.558,.190,4.6,19.8,12.3,15.7,1.3,1.3,17.6,15.8,,0.1,1.6,1.6,.046,,-1.3,0.5,-0.8,0.5
34,Matt Barnes\barnema02,SF,36,Sacramento Kings,54,1367,10.2,.501,.551,.172,4.7,20.3,12.5,16.3,1.3,1.1,16.8,16.4,,-0.1,1.0,1.0,.034,,-1.3,0.3,-1.0,0.3
35,Matt Barnes\barnema02,SF,36,Golden State Warriors,17,348,9.3,.547,.595,.284,4.4,17.8,11.5,13.5,1.2,2.1,21.6,13.2,,0.1,0.5,0.7,.093,,-1.7,1.5,-0.2,0.2
36,Will Barton\bartowi01,SG,26,Denver Nuggets,60,1705,15.5,.546,.352,.285,3.8,13.1,8.4,17.8,1.4,1.3,11.4,21.1,,2.5,0.7,3.2,.091,,1.3,-1.1,0.2,1.0
